index,Name,Platform,Year_of_Release,Genre,Publisher,Critic_Score,User_Score,Rating
3634,Evolution Skateboarding,PS2,2002,Sports,Konami Digital Entertainment,44,6.7,T
3635,Outlaw Volleyball,XB,2003,Sports,TDK Mediactive,77,8.4,M
3636,Batman: Vengeance,GC,2001,Adventure,Ubisoft,70,5.8,T
3637,Spider-Man: Web of Shadows,PS3,2008,Action,Activision,67,7.9,T
3638,Legaia 2: Duel Saga,PS2,2001,Role-Playing,Eidos Interactive,67,8.4,T
3639,Crash Nitro Kart,GC,2003,Racing,Vivendi Games,66,7.4,E
3640,ExciteBots: Trick Racing,Wii,2009,Racing,Nintendo,77,8.6,E
3641,Oddworld: Stranger's Wrath,XB,2005,Adventure,Electronic Arts,88,9.1,T
3642,King of Fighters: Maximum Impact,PS2,2004,Fighting,Ignition Entertainment,64,6.9,T
3643,Atelier Ayesha: The Alchemist of Dusk,PS3,2012,Role-Playing,Tecmo Koei,70,6.6,T
3644,Battleborn,PS4,2016,Shooter,Take-Two Interactive,68,6.8,T
3645,Drakan: The Ancients' Gates,PS2,2002,Adventure,Sony Computer Entertainment,78,9,M
3646,Resident Evil: Revelations,X360,2013,Action,Capcom,75,7.4,M
3647,Tony Hawk: Shred,X360,2010,Sports,Activision,53,6.6,E
3648,Tokyo Jungle,PS3,2012,Action,Sony Computer Entertainment,74,8.4,T
3649,Army of Two: The Devil's Cartel,X360,2013,Shooter,Electronic Arts,54,6.2,M
3650,Puppeteer,PS3,2013,Platform,Sony Computer Entertainment Europe,80,8.5,E10+
3651,Tom Clancy's Splinter Cell: Double Agent,PS3,2007,Action,Ubisoft,78,6.5,M
3652,Resident Evil: Deadly Silence,DS,2006,Action,Capcom,71,8.4,M
3653,Legendary,X360,2008,Shooter,Atari,47,7.1,M
3654,Peter Jackson's King Kong: The Official Game of the Movie,X360,2005,Action,Ubisoft,80,7.5,T
3655,Rayman DS,DS,2005,Platform,Ubisoft,58,7.6,E
3656,All-Star Baseball 2003,XB,2002,Sports,Acclaim Entertainment,79,8.1,E
3657,MTX Mototrax,PS2,2004,Racing,Activision,77,8.1,E
3658,NBA ShootOut 2004,PS2,2003,Sports,Sony Computer Entertainment,58,7.8,E
3659,Nancy Drew: The Mystery of the Clue Bender Society,DS,2008,Adventure,Codemasters,46,3.6,E10+
3660,Castlevania: Harmony of Dissonance,GBA,2002,Platform,Konami Digital Entertainment,87,8.2,T
3661,Formula One 2001,PS2,2001,Racing,Sony Computer Entertainment,73,6,E
3662,Pirates of the Caribbean: Dead Man's Chest,DS,2006,Adventure,Disney Interactive Studios,63,8.6,T
3663,Baldur's Gate: Dark Alliance II,XB,2004,Role-Playing,Acclaim Entertainment,77,7.9,T
3664,Madden NFL 2005,DS,2004,Sports,Electronic Arts,68,7.7,E
3665,MVP Baseball 2004,GC,2004,Sports,Electronic Arts,89,8.5,E
3666,Polarium,DS,2004,Puzzle,Nintendo,73,8.4,E
3667,Super Street Fighter II: Turbo Revival,GBA,2001,Fighting,Ubisoft,84,7.4,T
3668,Secret Weapons Over Normandy,XB,2003,Simulation,LucasArts,77,8.8,T
3669,The Elder Scrolls IV: Oblivion,PC,2006,Role-Playing,Take-Two Interactive,94,8.1,M
3670,Metroid Prime Pinball,DS,2005,Misc,Nintendo,79,7.9,E
3671,Teen Titans,PS2,2006,Action,THQ,56,8.6,E10+
3672,Bomberman Generation,GC,2002,Adventure,Vivendi Games,81,8.5,E
3673,Sega Rally Revo,PSP,2007,Racing,Sega,74,7.2,E
3674,Surfing H3O,PS2,2000,Sports,Take-Two Interactive,46,4.6,E
3675,NASCAR 09,X360,2008,Racing,Electronic Arts,69,7.8,E
3676,NASCAR 09,PS3,2008,Racing,Electronic Arts,65,7.5,E
3677,Game of Thrones,X360,2012,Role-Playing,Focus Home Interactive,52,5.2,M
3678,Silent Hunter 5: Battle of the Atlantic,PC,2010,Simulation,Ubisoft,62,3.5,T
3679,Amped 2,XB,2003,Sports,Microsoft Game Studios,80,7.7,E
3680,Final Fantasy Crystal Chronicles: Echoes of Time,Wii,2009,Role-Playing,Square Enix,64,5.6,E10+
3681,NHL 08,PS3,2007,Action,Electronic Arts,86,6.9,E10+
3682,The Legend of Legacy,3DS,2015,Role-Playing,FuRyu,67,7.1,E10+
3683,Juiced 2: Hot Import Nights,PS3,2007,Racing,THQ,71,6.4,T
3684,LEGO Star Wars III: The Clone Wars,PC,2011,Action,LucasArts,76,7.5,E10+
3685,The Powerpuff Girls: Chemical X-Traction,PS,2001,Action,BAM! Entertainment,30,6.3,E
3686,Dead or Alive Xtreme 2,X360,2006,Sports,Tecmo Koei,53,6.7,M
3687,PlayStation VR Worlds,PS4,2016,Misc,Sony Computer Entertainment,59,7.1,M
3688,Hunted: The Demon's Forge,PS3,2011,Action,Bethesda Softworks,57,6.2,M
3689,Men of Valor,XB,2004,Shooter,Vivendi Games,73,8,M
3690,Medal of Honor European Assault,GC,2005,Shooter,Electronic Arts,71,7.9,T
3691,Billy Hatcher and the Giant Egg,GC,2003,Platform,Sega,71,8.7,E
3692,NHL 08,X360,2007,Action,Electronic Arts,85,8.2,E10+
3693,WipEout Fusion,PS2,2002,Racing,Sony Computer Entertainment,83,8.5,E
3694,Prison Break: The Conspiracy,PS3,2010,Action,Deep Silver,42,3.8,T
3695,NHL 06,XB,2005,Sports,Electronic Arts,79,8.4,E10+
3696,Anno 2205,PC,2015,Strategy,Ubisoft,72,5.9,E10+
3697,Ultimate Fighting Championship,PS,2000,Fighting,Ubisoft,53,7.4,T
3698,XIII,XB,2003,Shooter,Ubisoft,74,8.3,M
3699,Up,PS3,2009,Action,THQ,65,6.5,E10+
3700,Michael Jackson: The Experience,DS,2010,Misc,Ubisoft,64,6.6,E10+
3701,MotoGP '07,X360,2007,Racing,THQ,78,7.3,E
3702,Cars,X360,2006,Racing,THQ,65,6.1,E
3703,Hatsune Miku: Project Diva F 2nd,PS3,2014,Misc,Sega,78,8.6,T
3704,Need for Speed Rivals,PC,2013,Racing,Electronic Arts,76,3.3,E10+
3705,The Mummy: Tomb of the Dragon Emperor,PS2,2008,Action,Vivendi Games,38,6.8,T
3706,Def Jam Vendetta,GC,2003,Fighting,Electronic Arts,81,8.5,T
3707,The Sims 2,XB,2005,Simulation,Electronic Arts,75,7.1,T
3708,Spider-Man: Web of Shadows,Wii,2008,Action,Activision,63,6.9,T
3709,The Bureau: XCOM Declassified,PS3,2013,Shooter,Take-Two Interactive,69,6.7,M
3710,World Series Baseball 2K3,PS2,2003,Sports,Sega,87,8.7,E
3711,Tony Hawk's Proving Ground,Wii,2007,Sports,Activision,57,6.2,T
3712,Indiana Jones and the Staff of Kings,PSP,2009,Action,Activision,63,7.8,T
3713,The Outfit,X360,2006,Action,THQ,70,7.5,M
3714,Don King Presents: Prizefighter,X360,2008,Sports,Take-Two Interactive,56,6.4,T
3715,Devil Kings,PS2,2005,Action,Capcom,64,7.4,T
3716,Bolt,X360,2008,Adventure,Disney Interactive Studios,57,7.1,E10+
3717,Spider-Man: Edge of Time,X360,2011,Action,Activision,57,6.8,T
3718,L.A. Noire: The Complete Edition,PC,2011,Adventure,Take-Two Interactive,83,7.9,M
3719,Dynasty Warriors 6,PS2,2008,Action,Tecmo Koei,43,5.4,T
3720,America's Army: Rise of a Soldier,XB,2005,Shooter,Ubisoft,70,7.4,T
3721,Grandia,PS,1999,Role-Playing,Ubisoft,89,6.6,E
3722,Pirates of the Caribbean: The Legend of Jack Sparrow,PS2,2006,Adventure,Ubisoft,51,7.5,T
3723,"Ed, Edd n Eddy: The Mis-Edventures",GC,2005,Platform,Midway Games,55,7.9,E
3724,Armored Core 4,X360,2007,Simulation,505 Games,65,7.2,T
3725,SBK Superbike World Championship,PS3,2008,Racing,Black Bean Games,59,6.1,E10+
3726,Indiana Jones and the Staff of Kings,DS,2009,Action,Activision,50,6.8,T
3727,X-Men Origins: Wolverine,Wii,2009,Action,Activision,53,6.1,T
3728,Disgaea 2: Dark Hero Days,PSP,2009,Role-Playing,Nippon Ichi Software,83,7.1,T
3729,Major League Baseball 2K7,PS3,2007,Sports,Spike,74,4.7,E
3730,Final Fantasy XI: Chains of Promathia,PS2,2004,Role-Playing,Square Enix,77,8,T
3731,The Chronicles of Riddick: Assault on Dark Athena,PS3,2009,Shooter,Vivendi Games,80,7.7,M
3732,X-Men Legends II: Rise of Apocalypse,GC,2005,Role-Playing,Activision,82,6.2,T
3733,TV Superstars,PS3,2010,Misc,Sony Computer Entertainment,56,4.9,E
3734,Family Guy: Back to the Multiverse,X360,2012,Action,Activision,39,5,M
3735,Ninja Gaiden 3,X360,2012,Action,Tecmo Koei,58,4.4,M
3736,Sid Meier's Civilization VI,PC,2016,Strategy,Take-Two Interactive,88,7.3,E10+
3737,Sword Art Online: Lost Song,PS4,2015,Role-Playing,Namco Bandai Games,63,6.3,T
3738,NBA Courtside 2002,GC,2002,Sports,Nintendo,71,7.4,E
3739,F1 2015,XOne,2015,Racing,Codemasters,64,5.3,E
3740,Sly Cooper: Thieves in Time,PSV,2013,Platform,Sony Computer Entertainment Europe,75,8.2,E10+
3741,Digimon World: Data Squad,PS2,2006,Role-Playing,Namco Bandai Games,43,8,E10+
3742,Hitman: Absolution,PC,2012,Action,Square Enix,79,7,M
3743,Stella Glow,3DS,2015,Role-Playing,Atlus,79,8.7,T
3744,Racquet Sports,Wii,2010,Sports,Ubisoft,51,8.6,E
3745,Trials Fusion,XOne,2014,Racing,Ubisoft,80,7.1,E10+
3746,Far Cry Instincts Predator,X360,2006,Shooter,Ubisoft,78,6.2,M
3747,Onechanbara Z2: Chaos,PS4,2014,Action,Nippon Ichi Software,57,6.5,M
3748,Skylanders SWAP Force,3DS,2013,Platform,Activision,68,6.4,E10+
3749,Army Men: Sarge's Heroes 2,PS,2000,Shooter,3DO,48,7.3,T
3750,MLB,PSP,2005,Sports,Sony Computer Entertainment,80,7.9,E
3751,Skylanders: SuperChargers,XOne,2015,Action,Activision,76,5.5,E10+
3752,Ys: Memories of Celceta,PSV,2012,Action,Nihon Falcom Corporation,82,8.8,T
3753,Britney's Dance Beat,PS2,2002,Misc,THQ,63,4.8,E
3754,Vexx,PS2,2003,Platform,Acclaim Entertainment,63,7.6,T
3755,Samurai Warriors 4,PS4,2014,Action,Tecmo Koei,76,8.1,T
3756,Ace Combat: Assault Horizon Legacy,3DS,2011,Simulation,Namco Bandai Games,71,7.8,T
3757,TimeSplitters: Future Perfect,PS2,2005,Shooter,Electronic Arts,84,9.1,M
3758,Dynasty Warriors Next,PSV,2011,Action,Tecmo Koei,67,7.5,T
3759,Harvest Moon: Magical Melody,GC,2005,Simulation,Ubisoft,83,8.9,E
3760,Genma Onimusha,XB,2002,Action,Capcom,83,8.6,M
3761,DK: King of Swing,GBA,2005,Platform,Nintendo,70,5,E
3762,Turning Point: Fall of Liberty,PS3,2008,Shooter,Codemasters,42,5.5,T
3763,Homefront,PC,2011,Shooter,THQ,70,5.5,M
3764,Corvette,XB,2003,Racing,TDK Mediactive,53,8.6,E
3765,Percy Jackson and the Olympians: The Lightning Thief,DS,2010,Role-Playing,Activision,56,6.9,E10+
3766,Fuel,PS3,2009,Racing,Codemasters,67,7.4,E
3767,NBA Live 10,PSP,2009,Sports,Electronic Arts,64,4.2,E
3768,Burnout 2: Point of Impact,XB,2003,Racing,Acclaim Entertainment,88,5.1,E
3769,Super Monkey Ball Deluxe,PS2,2005,Misc,Sega,78,7.7,E
3770,Kill.Switch,XB,2003,Shooter,Namco Bandai Games,75,8,T
3771,Lunar: Silver Star Harmony,PSP,2009,Role-Playing,GungHo,80,7.7,T
3772,Peter Jackson's King Kong: The Official Game of the Movie,GC,2005,Action,Ubisoft,81,8.3,T
3773,Dancing With The Stars,Wii,2007,Misc,Activision,42,6.2,E10+
3774,The Simpsons: Road Rage,GC,2001,Racing,Electronic Arts,67,7.7,T
3775,Dynasty Warriors 7,X360,2011,Action,Tecmo Koei,58,8,T
3776,Total War: Attila,PC,2015,Strategy,Sega,80,7.3,T
3777,Azurik: Rise of Perathia,XB,2001,Action,Microsoft Game Studios,52,8.5,T
3778,Dragon Ball Z: Sagas,XB,2005,Fighting,Atari,51,6.1,T
3779,AC/DC LIVE: Rock Band Track Pack,PS3,2008,Misc,MTV Games,60,5.3,T
3780,Crash Tag Team Racing,PSP,2005,Racing,Vivendi Games,68,7.1,E10+
3781,Asura's Wrath,X360,2012,Action,Capcom,71,6.5,T
3782,Harvest Moon: Another Wonderful Life,GC,2004,Role-Playing,Marvelous Interactive,70,9.2,E
3783,Final Fantasy Fables: Chocobo Tales,DS,2006,Adventure,Ubisoft,75,7.4,E
3784,NCAA College Basketball 2K3,PS2,2002,Sports,Sega,83,8,E
3785,NHL 17,XOne,2016,Sports,Electronic Arts,77,4,E10+
3786,Bakugan: Battle Brawlers,X360,2009,Action,Activision,60,5.2,E
3787,Fantastic 4,GC,2005,Action,Activision,61,4,T
3788,Tony Hawk's American Sk8land,GBA,2005,Sports,Activision,64,5.4,E
3789,Metro 2033,PC,2010,Shooter,THQ,81,8.1,M
3790,Valhalla Knights,PSP,2006,Role-Playing,Rising Star Games,53,6.3,E10+
3791,The Adventures of Tintin: The Game,X360,2011,Action,Ubisoft,63,6.1,E10+
3792,Etrian Mystery Dungeon,3DS,2015,Role-Playing,Nippon Ichi Software,77,7.9,E10+
3793,Zumba Fitness: World Party,XOne,2013,Misc,Majesco Entertainment,73,6.2,E
3794,Luminous Arc,DS,2007,Role-Playing,Rising Star Games,70,7,T
3795,4x4 EVO 2,XB,2001,Racing,Gathering of Developers,59,6.2,E
3796,Grand Theft Auto,GBA,2004,Action,Take-Two Interactive,68,7.1,M
3797,Avalon Code,DS,2008,Role-Playing,Rising Star Games,71,7.4,E10+
3798,Dreamcast Collection,X360,2011,Misc,Sega,53,5.2,T
3799,Resident Evil Archives: Resident Evil Zero,Wii,2008,Action,Capcom,62,8.2,M
3800,Rocket League,XOne,2016,Sports,505 Games,87,8.3,E
3801,My Street,PS2,2003,Misc,Sony Computer Entertainment,46,3.9,E
3802,Spider-Man: Shattered Dimensions,Wii,2010,Action,Activision,75,7.7,T
3803,Ghost Rider,PSP,2007,Action,Take-Two Interactive,49,5.7,T
3804,Shadow Hearts: Covenant,PS2,2004,Role-Playing,Midway Games,85,9.1,T
3805,X-Men: Destiny,PS3,2011,Action,Activision,50,4.8,T
3806,Driver '76,PSP,2007,Racing,Ubisoft,57,7.9,M
3807,Harry Potter and the Order of the Phoenix,PS3,2007,Action,Electronic Arts,67,6.6,E10+
3808,Midway Arcade Treasures: Extended Play,PSP,2005,Misc,Midway Games,63,7.8,M
3809,Dynasty Warriors 6 Empires,X360,2009,Action,Tecmo Koei,59,7.3,T
3810,The Testament of Sherlock Holmes,PS3,2012,Adventure,Focus Home Interactive,65,7.4,M
3811,FIFA World Cup Germany 2006,XB,2006,Sports,Electronic Arts,77,8.4,E
3812,NBA Live 14,PS4,2013,Sports,Electronic Arts,43,2.7,E
3813,G.I. Joe: The Rise of Cobra,X360,2009,Action,Electronic Arts,42,4.7,T
3814,Game of Thrones,PS3,2012,Role-Playing,Focus Home Interactive,53,5.5,M
3815,LEGO Marvel's Avengers,WiiU,2016,Action,Warner Bros. Interactive Entertainment,69,6.8,E10+
3816,PDC World Championship Darts 2008,Wii,2008,Sports,Oxygen Interactive,51,5.4,E10+
3817,X-Men: Destiny,X360,2011,Action,Activision,47,5,T
3818,Pro Evolution Soccer 2014,X360,2013,Action,Konami Digital Entertainment,80,4.3,E
3819,Pure Futbol,PS3,2010,Sports,Ubisoft,46,7.5,E
3820,Afro Samurai,X360,2009,Action,Atari,65,6.2,M
3821,Ar tonelico Qoga: Knell of Ar Ciel,PS3,2010,Role-Playing,Tecmo Koei,61,5.4,M
3822,NASCAR 08,PS2,2007,Racing,Electronic Arts,56,8.2,E
3823,Broken Sword: Shadow of the Templars - The Director's Cut,Wii,2009,Adventure,Ubisoft,74,8.1,T
3824,Divinity II: Ego Draconis,X360,2009,Role-Playing,DTP Entertainment,62,6.4,M
3825,Birds of Steel,PS3,2012,Simulation,Konami Digital Entertainment,73,8.4,T
3826,DC Universe Online,PC,2011,Role-Playing,Sony Online Entertainment,72,6.8,T
3827,Bakugan: Battle Brawlers,PS3,2009,Action,Activision,63,8.2,E
3828,Naruto: Path of the Ninja 2,DS,2006,Role-Playing,Takara Tomy,62,7.5,E10+
3829,Karaoke Revolution Volume 2,PS2,2004,Misc,Konami Digital Entertainment,76,7,E
3830,Prince of Persia: The Forgotten Sands,Wii,2010,Action,Ubisoft,77,8.1,T
3831,Disney's A Christmas Carol,DS,2009,Adventure,Disney Interactive Studios,66,6.5,E
3832,NBA Live 15,PS4,2014,Sports,Electronic Arts,59,5.6,E
3833,NASCAR Thunder 2004,XB,2003,Racing,Electronic Arts,85,9.1,E
3834,Buffy the Vampire Slayer,XB,2002,Action,Electronic Arts,79,9.1,T
3835,Harry Potter and the Goblet of Fire,XB,2005,Action,Electronic Arts,68,5.8,E10+
3836,Sands of Destruction,DS,2008,Role-Playing,Sega,63,7.9,T
3837,Harry Potter and the Goblet of Fire,DS,2005,Action,Electronic Arts,68,6,E
3838,Viva Pinata: Party Animals,X360,2007,Misc,Microsoft Game Studios,56,6.2,E
3839,World Series Baseball,XB,2002,Sports,Sega,85,8.8,E
3840,Test Drive: Eve of Destruction,PS2,2004,Racing,Atari,73,9.1,T
3841,Dynasty Warriors: Gundam Reborn,PS3,2013,Action,Tecmo Koei,64,7.5,T
3842,Hatsune Miku: Project Diva f,PSV,2012,Misc,Sega,81,8,T
3843,The Legend of Heroes: Trails of Cold Steel,PSV,2013,Role-Playing,Nippon Ichi Software,77,7.5,T
3844,Jeremy McGrath Supercross World,PS2,2001,Racing,Acclaim Entertainment,35,3.4,T
3845,The Scorpion King: Rise of the Akkadian,PS2,2002,Action,Universal Interactive,47,7.2,T
3846,The Club,PS3,2008,Shooter,Sega,72,6.5,M
3847,Meteos,DS,2005,Puzzle,Nintendo,88,7.5,E
3848,Star Wars Jedi Knight II: Jedi Outcast,GC,2002,Shooter,Activision,75,7.8,T
3849,Tom Clancy's Splinter Cell,GC,2003,Action,Ubisoft,89,8.7,T
3850,Virtua Tennis 4,X360,2011,Sports,Sega,70,6.2,E
3851,ESPN NHL Hockey,PS2,2003,Sports,Sega,90,7,E
3852,DiRT Showdown,X360,2012,Racing,Codemasters,75,6.4,E10+
3853,The Incredible Hulk: Ultimate Destruction,XB,2005,Action,Vivendi Games,84,8,T
3854,Gundam Battle Assault,PS,1998,Fighting,Namco Bandai Games,61,7.8,T
3855,XCOM 2,PC,2016,Strategy,Take-Two Interactive,88,7.1,T
3856,Cross Edge,PS3,2008,Role-Playing,Nippon Ichi Software,52,7.2,T
3857,The Lord of the Rings: Aragorn's Quest,Wii,2010,Action,Warner Bros. Interactive Entertainment,58,7.8,T
3858,Looney Tunes: Acme Arsenal,Wii,2007,Action,Warner Bros. Interactive Entertainment,27,5.1,E10+
3859,Madagascar: Escape 2 Africa,PS3,2008,Action,Activision,58,6.8,E10+
3860,NBA 2K6,X360,2005,Action,Take-Two Interactive,81,8.6,E
3861,NASCAR 08,PS3,2007,Racing,Electronic Arts,57,5,E
3862,Mafia,XB,2004,Action,Take-Two Interactive,66,7.7,M
3863,Grand Slam Tennis 2,PS3,2012,Sports,Electronic Arts,73,5.2,E
3864,Dynasty Warriors: Strikeforce,X360,2009,Action,Tecmo Koei,59,5.7,T
3865,Airblade,PS2,2001,Sports,Sony Computer Entertainment,70,5.8,T
3866,Epic Mickey 2: The Power of Two,WiiU,2012,Action,Disney Interactive Studios,57,5.6,E
3867,Carnival Island,PS3,2011,Misc,Sony Computer Entertainment,66,5.2,E
3868,Tom Clancy's Rainbow Six: Siege,PC,2015,Shooter,Ubisoft,79,6.9,M
3869,Genji: Dawn of the Samurai,PS2,2005,Action,Sony Computer Entertainment,74,8.3,M
3870,The Italian Job,PS2,2003,Racing,Eidos Interactive,55,6.3,T
3871,TrackMania: Build to Race,Wii,2010,Racing,Focus Home Interactive,74,6.8,E
3872,Ultimate Band,Wii,2008,Misc,Disney Interactive Studios,59,5.5,E10+
3873,Freedom Fighters,XB,2003,Shooter,Electronic Arts,82,8.2,T
3874,Soldier of Fortune II: Double Helix,XB,2003,Shooter,Activision,61,6.5,M
3875,Lunar Knights,DS,2006,Role-Playing,Konami Digital Entertainment,82,7.8,E10+
3876,Final Fantasy XI: Treasures of Aht Urhgan,PS2,2006,Role-Playing,Square Enix,87,7.1,T
3877,WWE All Stars,3DS,2011,Fighting,THQ,71,7.4,T
3878,Alundra,PS,1997,Role-Playing,Psygnosis,86,9,T
3879,Mortal Kombat: Armageddon,Wii,2007,Fighting,Midway Games,71,8.4,M
3880,Madden NFL 13,WiiU,2012,Sports,Electronic Arts,75,6.7,E
3881,Transformers: Devastation,PS4,2015,Action,Activision,77,7.5,T
3882,BlowOut,PS2,2003,Shooter,Zoo Digital Publishing,58,6.2,T
3883,NFL Blitz Pro,PS2,2003,Sports,Midway Games,73,8.5,E
3884,Tiger Woods PGA Tour 2003,GC,2002,Sports,Electronic Arts,90,8,E
3885,Pinball Hall of Fame: The Gottlieb Collection,PSP,2005,Misc,Play It,73,8.1,E
3886,Disgaea: Afternoon of Darkness,PSP,2006,Role-Playing,Tecmo Koei,87,8.2,T
3887,Toukiden Kiwami,PSV,2014,Action,Tecmo Koei,82,8.6,T
3888,SSX On Tour,PSP,2005,Sports,Electronic Arts,79,8.1,E
3889,Rune Factory: Tides of Destiny,PS3,2011,Role-Playing,Marvelous Interactive,55,7.9,E10+
3890,Ys Seven,PSP,2009,Role-Playing,Falcom Corporation,79,8.5,T
3891,Lumines: Electronic Symphony,PSV,2012,Misc,Ubisoft,83,7.8,E
3892,Tony Hawk's Proving Ground,DS,2007,Sports,Activision,79,6.7,E10+
3893,The Polar Express,PS2,2004,Adventure,THQ,39,4.3,E
3894,AC/DC LIVE: Rock Band Track Pack,X360,2008,Misc,MTV Games,63,4.9,T
3895,Valhalla Knights 2,PSP,2008,Role-Playing,Rising Star Games,50,5.4,E10+
3896,Spec Ops: The Line,PC,2012,Shooter,Take-Two Interactive,76,8.2,M
3897,NBA ShootOut 2003,PS2,2002,Sports,Sony Computer Entertainment,62,5.9,E
3898,Need For Speed: Undercover,DS,2008,Racing,Electronic Arts,59,6.7,E10+
3899,Rogue Ops,PS2,2003,Action,Kemco,61,9.2,M
3900,Killer is Dead,PS3,2013,Action,Deep Silver,64,7.9,M
3901,F1 2014,X360,2014,Racing,Codemasters,64,4.1,E
3902,Legion: The Legend of Excalibur,PS2,2002,Action,Midway Games,51,7,M
3903,Spartan: Total Warrior,PS2,2005,Action,Sega,74,8.4,M
3904,Justice League Heroes,PSP,2006,Role-Playing,Eidos Interactive,72,7.8,T
3905,Conflict: Vietnam,XB,2004,Shooter,SCi,60,7.3,M
3906,Whirl Tour,PS2,2002,Sports,Crave Entertainment,58,7,E
3907,NBA Street: Showdown,PSP,2005,Sports,Electronic Arts,75,8.5,E
3908,pro evolution soccer 2011,Wii,2010,Sports,Konami Digital Entertainment,78,5.4,E
3909,Skies of Arcadia Legends,GC,2002,Role-Playing,Atari,84,9.2,T
3910,Breath of Fire,GBA,2001,Role-Playing,Ubisoft,79,8.8,E
3911,Risen 2: Dark Waters,PC,2012,Role-Playing,Deep Silver,69,5.6,M
3912,NCAA Football 2005,GC,2004,Sports,Electronic Arts,88,9,E
3913,Hamtaro: Ham-Ham Games,GBA,2004,Sports,Nintendo,77,7.8,E
3914,Soul Sacrifice Delta,PSV,2014,Action,Sony Computer Entertainment,82,8.4,M
3915,NASCAR 2011: The Game,Wii,2011,Racing,Activision,42,3.1,E
3916,Spider-Man: Edge of Time,PS3,2011,Action,Activision,58,7.2,T
3917,Ride,PS4,2015,Racing,Milestone S.r.l.,66,7,E
3918,Spirit Camera: The Cursed Memoir,3DS,2012,Adventure,Nintendo,54,6.1,T
3919,Galactic Wrestling: Featuring Ultimate Muscle,PS2,2004,Fighting,Namco Bandai Games,61,8,T
3920,FaceBreaker K.O. Party,Wii,2008,Fighting,Electronic Arts,61,5.6,T
3921,Dino Stalker,PS2,2002,Shooter,Capcom,50,6.3,M
3922,Mega Man Zero 3,GBA,2004,Platform,Capcom,77,9,E
3923,Super Swing Golf,Wii,2006,Sports,Nintendo,72,7.8,E10+
3924,G-Force,PS3,2009,Action,Disney Interactive Studios,68,7.6,E10+
3925,Luminous Arc 2,DS,2008,Role-Playing,Rising Star Games,73,7.7,T
3926,Shinobi,3DS,2011,Platform,Sega,69,7.3,T
3927,Tony Hawk's Downhill Jam,DS,2006,Sports,Activision,76,7,E
3928,Risen 2: Dark Waters,PS3,2012,Role-Playing,Deep Silver,47,5.2,M
3929,Age of Empires: The Age of Kings,DS,2006,Strategy,THQ,80,7.9,E10+
3930,MotoGP 09/10,PS3,2010,Racing,Capcom,70,5.4,E
3931,The Lord of the Rings: The Third Age,GBA,2004,Role-Playing,Electronic Arts,67,8.5,T
3932,Dinosaur King,DS,2007,Strategy,Sega,61,8,E
3933,The Suffering,XB,2004,Action,Midway Games,77,8.8,M
3934,Tetris Worlds,GC,2002,Puzzle,THQ,47,5.6,E
3935,The Sims 4: Get Together,PC,2015,Simulation,Electronic Arts,72,7.3,T
3936,Viewtiful Joe 2,GC,2004,Action,Capcom,86,8.3,T
3937,Child of Eden,PS3,2011,Shooter,Ubisoft,81,7.8,E10+
3938,Touch the Dead,DS,2007,Shooter,Eidos Interactive,56,5.6,M
3939,Nickelodeon Party Blast,XB,2002,Misc,Infogrames,19,4.3,E
3940,Jackass the Game,PSP,2007,Action,Empire Interactive,58,7,M
3941,Ragnarok DS,DS,2008,Role-Playing,GungHo,53,5.8,E10+
3942,Shellshock: Nam '67,XB,2004,Shooter,Eidos Interactive,58,7,M
3943,Magna Carta: Tears of Blood,PS2,2004,Role-Playing,505 Games,66,7,T
3944,All-Star Baseball 2002,GC,2001,Sports,Acclaim Entertainment,66,5.6,E
3945,Capcom vs. SNK,DC,2000,Fighting,Virgin Interactive,80,9,T
3946,Pinball Hall of Fame: The Williams Collection,PS3,2009,Misc,Crave Entertainment,82,7.9,E10+
3947,Aliens vs Predator: Requiem,PSP,2007,Action,Vivendi Games,49,5.6,T
3948,Dishonored 2,XOne,2016,Action,Bethesda Softworks,88,6.8,M
3949,Asphalt: Injection,PSV,2011,Action,Ubisoft,49,4.8,E10+
3950,From Russia With Love,GC,2005,Action,Electronic Arts,70,8.5,T
3951,Guitar Hero: Smash Hits,PS2,2009,Misc,Activision,69,8.3,T
3952,NBA Live 09 All-Play,Wii,2008,Sports,Electronic Arts,51,5.9,E
3953,NFL Quarterback Club 2002,PS2,2001,Sports,Acclaim Entertainment,67,7.8,E
3954,NCAA Basketball 09,X360,2008,Sports,Electronic Arts,70,5.6,E
3955,Shin Megami Tensei: Persona,PSP,2009,Role-Playing,Atlus,78,8,T
3956,Lords of the Fallen,XOne,2014,Role-Playing,Square Enix,71,6.7,M
3957,LEGO The Lord of the Rings,PC,2012,Action,Warner Bros. Interactive Entertainment,80,8.2,E10+
3958,Growlanser: Heritage of War,PS2,2006,Role-Playing,Rising Star Games,60,7.9,T
3959,Ben 10 Alien Force: Vilgax Attacks,X360,2009,Action,D3Publisher,61,8.3,E10+
3960,Rugby 2004,PS2,2003,Sports,Electronic Arts,61,6.8,E
3961,Senran Kagura 2: Deep Crimson ,3DS,2014,Action,Marvelous Entertainment,58,6.8,M
3962,NBA 06,PSP,2005,Sports,Sony Computer Entertainment,72,5.4,E
3963,KORG DS-10 Synthesizer,DS,2008,Misc,AQ Interactive,82,8.2,E
3964,Naruto: Ninja Council,GBA,2003,Action,Tomy Corporation,60,7.1,E10+
